NO.,CLINIC NAME,CLINIC ADDRESS,E-MAIL ADDRESS,TELEPHONE NO.,LONGITUDE,LATITUDE
1,23JAM KLINIK MEDIVIRON KUALA LUMPUR TRADERS SQUARE,"8-GPLAZA KLTS, 99 JALAN GOMBAKSETAPAK53000WILAYAH PERSEKUTUAN KUALA LUMPUR",greatshah711@gmail.com,0340317483,101.7030828,3.2029661
2,ACTIV CARE CLINIC,"NO 50A, JALAN DESA BAKTIOFF JALAN KLANG LAMAKUALA LUMPUR58100WILAYAH PERSEKUTUAN KUALA LUMPUR",aktivcareclinic@gmail.com,0172115010,101.6851985,3.1029965
3,AMAN PUTRI DISPENSARY,"NO. 21-G,JALAN CEMPAKA SD12/2,BANDAR SRI DAMANSARA,BANDAR SRI DAMANSARA52200WILAYAH PERSEKUTUAN KUALA LUMPUR",amanputridispensary@yahoo.com,03-62626245,101.6064139,3.1938876
4,ASP MEDICAL CLINIC SDN BHD,"ASP MEDICAL CLINIC SDN BHD, MALAYAN BANKING BHD, 30TH FLOOR, MENARA MAYBANK,100 JALAN TUN PERAKKUALA LUMPUR50050WILAYAH PERSEKUTUAN KUALA LUMPUR",aspclinicmb@gmail.com,03-20266388,101.6877722,3.1329096
5,ASP MEDICAL CLINIC SDN.BHD.,"CIMB BANK BERHAD (IN HOUSE CLINIC)MENARA BUMIPUTRA COMMERCE, LEVEL 5, 11 JALAN RAJA LAUTKUALA LUMPUR50350WILAYAH PERSEKUTUAN KUALA LUMPUR",dremma@klinikpembangunan.com,03-26988988,101.6952657,3.1553184
6,BERKAT AMPANG CLINIC,75-4A JLN MAMANDA 1 AMPANG POINTAMPANG68000WILAYAH PERSEKUTUAN KUALA LUMPUR,ampang@kberkat.com.my,03-86903001,101.7524841,3.1579876
7,BERKAT SENTRAL CLINIC,G11 GROUND FLOOR PLATINUM SENTRALJLN STESEN SENTRAL 2KUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR,sentral@kberkat.com.my,0386903001,101.6879722,3.1358726
8,BLANC MEDICAL CLINIC,"NO. 27-G (TINGKAT BAWAH), JALAN 13/149LBANDAR BARU SERI PETALINGKUALA LUMPUR57000WILAYAH PERSEKUTUAN KUALA LUMPUR",blancmedicalkl@hotmail.com,0395474899,101.686855,3.139003
9,BP DIAGNOSTIC CENTRE SDN. BHD.,"23, JALAN METRO PERDANA BARAT 1TAMAN USAHAWAN KEPONG, KEPONG UTARAKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",dckepong@bphealthcare.com,03-62593884,101.640911,3.214766
10,BP DIAGNOSTIC CENTRE SDN. BHD.,"485, JALAN PUDUKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",dcpudu@bphealthcare.com,03-92222800,101.71666,3.1316234
11,BP DIAGNOSTIC CENTRE SDN. BHD.,"37, 39, 41 & 43 JALAN 4/96ATAMAN CHERAS MAKMURKUALA LUMPUR46100WILAYAH PERSEKUTUAN KUALA LUMPUR",sccheras@bphealthcare.com,03-91309163,101.7693206,3.0582712
12,BP DIAGNOSTIK,"82, JALAN MEGA MENDUNG, BANDAR PARKBATU 5, JALAN KELANG LAMAKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",dcoug@bphealthcare.com,03-79802061,101.7233107,3.2000968
13,CHAUDHURY MEDIC CENTRE,"NO. 15, JALAN 5 / 65 C,PEKELILING BUSINESS CENTRE OFF JALAN PAHANG BARATKUALA LUMPUR53000WILAYAH PERSEKUTUAN KUALA LUMPUR",cmediccentre@gmail.com,0340211566,101.69676,3.1757
14,CHOY'S WOMEN CLINIC,"NO 20, JALAN BABA, 55100 KUALA LUMPURKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",choytf@gmail.com,0321422001,101.7106035,3.1394148
15,CHYE CLINIC,48 JALAN LANG KUNINGKEPONG BARUKUALA LUMPUR52100WILAYAH PERSEKUTUAN KUALA LUMPUR,chyec179@gmail.com,03-62745814,101.6445431,3.1908005
16,CLINIC,"68, JALAN TUN PERAKKUALA LUMPUR50050WILAYAH PERSEKUTUAN KUALA LUMPUR",sriprimapoliklinik@gmail.com,0320222967,101.6978196,3.1480614
17,CLINIC,"5 JALAN ALAM SUTERA 10 ALAM SUTERA,BUKIT JALIL, 57000 KUALA LUMPURBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",infopoliklinikas@gmail.com,0380823069,101.6646235,3.052338
18,CLINIC 365,"191, JALAN PUDU 55100 KUALA LUMPURKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",clinic365.staff@gmail.com,0103653650,101.7097105,3.1385664
19,CLINIC Q CITY N SURGERY,"UNIT 13-3A,LEVEL 13,Q SENTRAL 2A,JALAN STESEN SENTRAL 2,KUALA LUMPUR SENTRALWP KUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR",clinicqcity@gmail.com,03-22762705,101.6877164,3.1366046
20,DAMANSARA HEIGHTS WELLNESS CLINIQUE SDN BHD,"21-M, JALAN MEDAN SETIA 1,PLAZA DAMANSARA, BUKIT DAMANSARAKUALA LUMPUR50490WILAYAH PERSEKUTUAN KUALA LUMPUR",d.h.wellness.clinique@gmail.com,0320933315,101.6521353,3.1496987
21,DR HAWA,NO 20 JALAN DAMAI RAYA2CHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikdrhawa@gmail.com,0391057024,101.7441242,3.0613379
22,DR LEELA RATOS DAN RAKAN-RAKAN (PUDU) SDN BHD,"413-415, JALAN PUDUKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",ann_naz87@yahoo.com,03-92211255,101.7146985,3.1329625
23,DR NOOR FAZURA SHUIB,"NO.3-G, JALAN 20/B 146DESA TASIK, SUNGAI BESISUNGAI BESI57000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikdesatasik@gmail.com,0390547441,101.71787,3.057444
24,DR.FATEH MOHAMED & RAKAN-RAKAN SDN. BHD.,"SUITE 222,TINGKAT 2,NO.86,JALAN MASJID INDIA,WP KUALA LUMPUR50100WILAYAH PERSEKUTUAN KUALA LUMPUR",rohana66@gmail.com,03-26932102,101.697178,3.1541816
25,DR.OORLOFF & PARTNERS,"49, JALAN AMPANGKUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",boonswee.khor@gmail.com,60122778320,101.6979961,3.1513755
26,"DRS TONG, LEOW, CHIAM & PARTNERS (CHONG DISPENSARY)","7TH FLOOR, MENARA HAP SENG, JALAN P. RAMLEEKUALA LUMPUR50250WILAYAH PERSEKUTUAN KUALA LUMPUR",horebmui@gmail.com,03-21415044,101.707417,3.1528311
27,"DRS TONG, LEOW, CHIAM & PARTNERS, ( CHONG DISPENSARY )","17TH FLOOR, MENARA AMBANK, 8,JALAN YAP KWAN SENG,KUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",horebyks@gmail.com,03-21617133,101.7109215,3.1612921
28,DRS YOUNG NEWTON DAN RAKAN-RAKAN,"SUITE 3A,  LEVEL 3, BLOCK 3B, PLAZA SENTRALJALAN STESEN SENTRAL 5, KUALA LUMPUR SENTRALKUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR",drs.youngnewton_sentral@yahoo.com,03-22734928,101.686099,3.1356693
29,DRS YOUNG NEWTON DAN RAKAN-RAKAN,"LEVEL 2-1, TOWER BLOCK, MENARA MILENIUM, JALAN DAMANLELAPUSAT BANDAR DAMANSARA, DAMANSARA HEIGHTKUALA LUMPUR50490WILAYAH PERSEKUTUAN KUALA LUMPUR",drs.youngnewton_milenium@yahoo.com,03-20933651,101.6620936,3.1466979
30,DRS YOUNG NEWTON DAN RAKAN_RAKAN,"LEVEL 1-01, CAPSQUARE SIGNATURE OFFICENO. 11,  PERSIARAN CAPSQUARE,  CAPITAL  SQUAREKUALA LUMPUR50100WILAYAH PERSEKUTUAN KUALA LUMPUR",drs.youngnewton@yahoo.com,03-26982967,101.7001956,3.1546923
31,DRS YOUNG NEWTON MENARA SHELL,LEVEL 4 MENARA SHELL211 JALAN TUN SAMBATHANKUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR,drs.youngnewtonms@gmail.com,0327421938,101.6845925,3.1308376
32,"DRS.TONG,LEOW,CHIAM & PARTNERS (CHONG DISPENSARY)","NO.55-59,2ND FLOOR,BANGUNAN ENG CHOON,JALAN AMPANGJALAN AMPANG50450WILAYAH PERSEKUTUAN KUALA LUMPUR",horebsdnbhd@yahoo.com,03-20780397,101.6981589,3.1515214
33,"DRS.TONG,LEOW,CHIAM & PARTNERS (CHONG DISPENSARY)","SUITE 7.02,7TH FLOOR, WISMA MARANNO.28 MEDAN PASARKUALA LUMPUR50050WILAYAH PERSEKUTUAN KUALA LUMPUR",horeb.maran@gmail.com,03-20720492,101.6958438,3.1478148
34,GEORGE CLINIC,"WISMA INDAH498-1-2 JALAN TUN RAZAK,KUALA LUMPUR50400WILAYAH PERSEKUTUAN KUALA LUMPUR",gc@george.com.my,0123702118,101.6922493,3.1734694
35,GLOABL DOCTORS CLINIC,"B3-05, BAYU WALK, MONT KIARA BAYUJALAN KIARA 2MONT KIARA50480WILAYAH PERSEKUTUAN KUALA LUMPUR",majmin.mdamin@globaldoctors.asia,03-62033999,101.6537801,3.1728282
36,"GLOBAL DOCTORS CLINI, KIARA WALK","LOT B1-C6, NO. 18, JALAN KIARA 3MONT KIARAMONT KIARA50480WILAYAH PERSEKUTUAN KUALA LUMPUR",nor.azren@globaldoctors.asia,03-62038999,101.6529013,3.1686623
37,GRIBBLES,"KLINIK SEGARAD4-G4-6 SOLARIS DUTAMAS,NO 1 JALAN DUTAMAS 1SOLARIS DUTAMAS50480WILAYAH PERSEKUTUAN KUALA LUMPUR",Ksegarasolaris@gmail.com,0362111140,101.6653028,3.1718846
38,HEW KUEN LEE MEDICAL CLINIC SDN BHD,"22, JALAN SEPADU, TAMAN UNITEDKUALA LUMPURKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",hewmkl@hotmail.com,03-79840228,101.6753492,3.0833559
39,HIBARI CLINIC,"L2-01, L2-01(T) & L2-20, 1 MONT KIARAKOMPLEKS 1 MONT KIARA, NO.1 JALAN KIARAMONT KIARA50480WILAYAH PERSEKUTUAN KUALA LUMPUR",info@hibariclinic.com,03-62115919,101.6531132,3.1657965
40,HIBARI CLINIC IMC,"SUITE 3.1, LEVEL 3, MENARA IMCNO.8, JALAN SULTAN ISMAILKUALA LUMPUR50250WILAYAH PERSEKUTUAN KUALA LUMPUR",info-imc@hibariclinic.com,03-20224919,101.6969643,3.142758
41,HSC MEDICAL CENTER (KL) SDN BHD,"5-1 & 6-1, MENARA HSC,NO. 187 JALAN AMPANG,KUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",zeenat.aman@hsc.com.my,0327870500,101.7664411,3.1325331
