NO.,HOSPITAL NAME,HOSPITAL ADDRESS,E-MAIL ADDRESS,TELEPHONE NO.,LONGITUDE,LATITUDE
1,AL-ISLAM SPECIALIST HOSPITAL,"NO. 85, JALAN RAJA ABDULLAHKAMPUNG BARUKUALA LUMPUR50300WILAYAH PERSEKUTUAN KUALA LUMPUR",corporate@al-islamhospital.com.my,03-26931007,101.7032354,3.1636186
2,DAMAI SERVICE HOSPITAL (HQ) SDN BHD,NO.109-119JALAN SULTAN AZLAN SHAHKUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR,dahari@dsh.com.my,03-40434900,101.6951573,3.170112
3,HOSPITAL PUSRAWI SDN BHD,"LOT 149, JALAN TUN RAZAKKUALA LUMPUR50400WILAYAH PERSEKUTUAN KUALA LUMPUR",ukk@pusrawi.com.my,03-26875000,101.7090311,3.1694855
4,KLINIK KIARA MEDICAL CENTRE,"NO. 8, JALAN 31/70ADESA SRI HARTAMASKUALA LUMPUR50480WILAYAH PERSEKUTUAN KUALA LUMPUR",kiaramed@kiaramed.com.my,0323008030,101.6484998,3.16304
5,KUALA LUMPUR HEARTCARE MEDICAL CENTRE,"1B-G-2, BLOCK 1B, PLAZA SENTRALJALAN SENTRAL 5, K.L.SENTRALKUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR",info@heart.com.my,03-27851957,101.6847,3.13252
6,LIFE CARE DIAGNOSTIC MEDICAL CENTRE SDN BHD,"1ST FLOOR, WISMA LIFE CARE, NO 5, JALAN KERINCHIBANGSAR SOUTH, 59200 KUALA LUMPURKUALA LUMPUR59200WILAYAH PERSEKUTUAN KUALA LUMPUR",info@lifecare.com.my,03-22413610,101.6636141,3.1101571
7,N & L MEDICAL CENTRE,345 JALAN PUDUKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,nlmedicalcentre@gmail.com,03-92226989,101.7126229,3.1347963
8,PANTAI HOSPITAL AMPANG,"JALAN PERUBATAN 1, PANDAN INDAHAMPANG55100WILAYAH PERSEKUTUAN KUALA LUMPUR",amirfauzan@pha.com.my,03-42892828,101.7523236,3.1283153
9,PANTAI HOSPITAL CHERAS,"1, JLN 1/96A, TMN CHERAS MAKMURKUALA LUMPUR56100WILAYAH PERSEKUTUAN KUALA LUMPUR",tuckkuan.loh@parkwaypantai.com,03-91452813,101.7409056,3.1026212
10,PANTAI HOSPITAL KUALA LUMPUR,"NO.8, JALAN BUKIT PANTAI,9TH FLOOR BLOCK A, NO 8 JALAN BUKIT PANTAIKUALA LUMPUR59100WILAYAH PERSEKUTUAN KUALA LUMPUR",qatrunnada.noridan@parkwaypantai.com,03-22960942,101.7082879,3.1445295
11,PRIMANORA MEDICAL CENTRE,"B1-13, PLAZA TTDI,JALAN WAN KADIR 3TAMAN TUN DR ISMAILKUALA LUMPUR60000WILAYAH PERSEKUTUAN KUALA LUMPUR",secretary.primanora@gmail.com,03-77282886,101.6310361,3.1372811
12,RSD HOSPITALS SDN BHD,NO 2 JALAN INTISARI PERDANADESA PARKCITY52200WILAYAH PERSEKUTUAN KUALA LUMPUR,nur.syaidatul.syaza@ramsaysimedarbyhealth.com,03-62793390,101.6385075,3.1893179
13,SENTOSA MEDICAL CENTRE SDN BHD,"SENTOSA MEDICAL CENTRE, NO 36 JALAN CHEMURKOMPLEKS DAMAIKUALA LUMPUR50400WILAYAH PERSEKUTUAN KUALA LUMPUR",hettidayana@kpjsentosa.com,03-40437166,101.6970986,3.0866381
14,SENTUL HOSPITAL SDN BHD,"631, JALAN SENTUL, OFF JALAN IPOH,KUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",sentulmedical+1@live.com,03-40416962,101.6927104,3.1740438
15,TAMAN DESA MEDICAL CENTRE,"45, JALAN DESA, TAMAN DESA,OFF OLD KLANG ROADKUALA LUMPUR58100WILAYAH PERSEKUTUAN KUALA LUMPUR",izzat.sezali@tdmberhad.com.my,03-79826500,101.677789,3.0960695
16,TUNGSHIN HOSPITAL,NO.102 JALAN PUDUKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,ae@tungshin.com.my,03-20372300,101.703641,3.145437
